shot_id,project_id,sequence_code,shot_name,department,assigned_artist_id,assigned_date,start_date,deadline,delivery_date,first_pass_date,final_approval_date,status,priority,complexity,estimated_hours,actual_hours,internal_revision_count,client_revision_count,revision_count_reported,hold_days,vendor_dependencies,notes
PRJ-1013_SQ040_SH0050,PRJ-1013,SQ040,SQ040_SH0050,Lighting,ART-032,2026-03-12,2026-03-15,2026-03-28,2026-04-01,2026-03-19,2026-04-03,Final,High,Medium,49.8,54.1,3,0,3,0,3D Asset,
PRJ-1012_SQ040_SH0040,PRJ-1012,SQ040,SQ040_SH0040,Lighting,ART-052,2026-01-21,2026-01-26,2026-02-11,,2026-01-30,,WIP,Medium,High,50.4,37.7,2,3,5,0,None,
PRJ-1014_SQ040_SH0080,PRJ-1014,SQ040,SQ040_SH0080,Compositing,ART-035,2026-06-12,2026-06-17,2026-06-26,,2026-06-22,,WIP,Low,High,55.8,29.6,4,1,5,2,External Simulation,
PRJ-1003_SQ020_SH0050,PRJ-1003,SQ020,SQ020_SH0050,Compositing,ART-024,2024-05-11,2024-05-12,2024-05-21,2024-05-22,2024-05-15,2024-05-23,Delivered,High,Medium,39.6,33.5,0,0,0,1,None,Heavy grain matching required
PRJ-1005_SQ030_SH0120,PRJ-1005,SQ030,SQ030_SH0120,Matchmove,ART-031,2025-01-18,2025-01-18,2025-01-27,2025-01-25,2025-01-20,2025-01-28,Delivered,High,Medium,27.2,26.2,1,1,2,0,Plate Prep,
PRJ-1009_SQ030_SH0050,PRJ-1009,SQ030,SQ030_SH0050,Roto/Paint,ART-049,2025-06-21,2025-06-24,2025-07-04,2025-07-03,2025-06-25,2025-07-03,Delivered,High,Medium,13.7,10.9,0,0,0,2,External Simulation,Editorial turnover changed after first pass
PRJ-1015_SQ050_SH0120,PRJ-1015,SQ050,SQ050_SH0120,Compositing,ART-025,2026-10-16,2026-10-18,2026-10-27,,,,WIP,Medium,High,39.1,18.3,2,2,4,0,3D Asset,Heavy grain matching required
PRJ-1004_SQ050_SH0020,PRJ-1004,SQ050,SQ050_SH0020,Matchmove,ART-017,2024-07-11,2024-07-14,2024-07-18,2024-07-26,2024-07-15,2024-07-28,Final,Medium,High,21.2,25.7,1,2,3,3,External Simulation,
PRJ-1008_SQ020_SH0100,PRJ-1008,SQ020,SQ020_SH0100,Roto/Paint,ART-049,2025-08-18,,2025-08-25,2025-09-01,2025-08-22,2025-09-01,Approved,High,Medium,22.0,22.9,0,1,1,0,None,Heavy grain matching required
PRJ-1015_SQ010_SH0120,PRJ-1015,SQ010,SQ010_SH0120,Matte Painting,ART-055,2026-10-03,2026-10-08,2026-10-19,,,,Client Review,High,Medium,24 hrs,46.8,3,2,5,0,Client Plate,
PRJ-1004_SQ040_SH0070,PRJ-1004,SQ040,SQ040_SH0070,Matchmove,ART-050,2024-11-01,2024-11-03,2024-11-14,2024-11-24,2024-11-05,2024-11-27,Delivered,Medium,Medium,24.1,29.7,2,2,4,1,External Simulation,Editorial turnover changed after first pass
PRJ-1005_SQ020_SH0080,PRJ-1005,SQ020,SQ020_SH0080,Compositing,ART-059,2024-11-22,2024-11-24,2024-12-06,2024-12-12,2024-11-26,2024-12-13,Final,Low,Low-Medium,27.0,28.2,1,1,2,0,None,
PRJ-1015_SQ020_SH0050,PRJ-1015,SQ020,SQ020_SH0050,Animation,ART-036,2026-05-25,2026-05-28,2026-06-08,2026-06-16,2026-06-02,2026-06-16,Delivered,Medium,Medium,57.2,57.5,2,0,2,0,Client Plate,
PRJ-1006_SQ040_SH0050,PRJ-1006,SQ040,SQ040_SH0050,Compositing,ART-040,2025-03-01,2025-03-03,2025-03-11,2025-03-16,2025-03-05,2025-03-16,W.I.P.,Low,Low,29.9,46.4,2,1,3,1,None,
PRJ-1001_SQ040_SH0080,PRJ-1001,SQ040,SQ040_SH0080,FX,ART-048,2024-06-14,2024-06-19,2024-06-28,2024-07-05,2025-13-05,2024-07-08,Delivered,Low,Medium,39.9,34.0,2,1,3,0,None,Dependent on upstream FX delivery
PRJ-1002_SQ020_SH0060,PRJ-1002,SQ020,SQ020_SH0060,Lighting,ART-043,2024-07-17,2024-07-17,2024-08-03,2024-08-02,2024-07-21,2024-08-03,Delivered,High,Medium,45.6,50.5,1,0,1,0,External Simulation,
PRJ-1012_SQ080_SH0050,PRJ-1012,SQ080,SQ080_SH0050,Compositing,ART-040,2026-03-13,2026-03-15,2026-03-30,,2026-03-20,,Client Review,Medium,High,53.3,73.2,3,1,4,0,None,Dependent on upstream FX delivery
PRJ-1005_SQ020_SH0120,PRJ-1005,SQ020,SQ020_SH0120,Lighting,ART-032,2025-01-08,2025-01-12,2025-01-23,2025-01-22,2025-01-15,2025-01-24,Delivered,Medium,Medium,43.5,46.7,3,1,4,0,None,
PRJ-1011_SQ040_SH0040,PRJ-1011,SQ040,SQ040_SH0040,Matchmove,ART-050,2025-09-16,2025-09-20,2025-09-24,2025-09-26,2025-09-21,2025-09-27,Delivered,High,Low,12.1,12.1,2,0,2,3,3D Asset,
PRJ-1001_SQ050_SH0070,PRJ-1001,SQ050,SQ050_SH0070,Compositing,ART-019,2024-05-31,2024-06-03,2024-06-11,2024-06-17,2024-06-06,2024-06-18,Delivered,High,Medium,43.8,51.7,3,1,4,0,3D Asset,Dependent on upstream FX delivery
PRJ-1015_SQ010_SH0110,PRJ-1015,SQ010,SQ010_SH0110,Compositing,ART-020,2026-09-13,2026-09-16,2026-10-01,,,,WIP,High,Medium,46.5,19.1,3,1,4,0,External Simulation,Heavy grain matching required
PRJ-1010_SQ010_SH0040,PRJ-1010,SQ010,SQ010_SH0040,Compositing,ART-025,2025-08-01,2025-08-06,2025-08-19,2025-08-19,2025-08-09,2025-08-19,Delivered,High,Low-Medium,30.2,34.5,2,1,3,0,External Simulation,Editorial turnover changed after first pass
PRJ-1005_SQ010_SH0100,PRJ-1005,SQ010,SQ010_SH0100,Animation,ART-006,2024-12-16,2024-12-18,2024-12-31,2025-01-08,2024-12-25,2025-01-08,Approved,High,High,78.6,92.4,4,2,6,1,None,Additional cleanup discovered during review
PRJ-1010_SQ070_SH0080,PRJ-1010,SQ070,SQ070_SH0080,Compositing,ART-035,2025-12-19,2025-12-24,2026-01-05,2026-01-06,2025-12-27,2026-01-06,Approved,Medium,Medium,35.6,40.9,3,0,3,3,External Simulation,
PRJ-1004_SQ080_SH0060,PRJ-1004,SQ080,SQ080_SH0060,Lighting,ART-014,2024-10-20,2024-10-21,2024-11-02,2024-11-01,2024-10-24,2024-11-03,Approved,High,Medium,40.0,39.0,1,0,1,0,None,
PRJ-1015_SQ010_SH0090,PRJ-1015,SQ010,SQ010_SH0090,Lighting,ART-014,2026-08-01,2026-08-06,2026-08-16,,,,WIP,High,Medium,42.1,27.5,2,0,2,8,None,
PRJ-1010_SQ060_SH0100,PRJ-1010,SQ060,SQ060_SH0100,Animation,ART-036,2026-02-17,2026-02-19,2026-03-03,2026-03-10,2026-02-24,2026-03-12,Approved,Medium,High,61.5,77.3,3,2,5,0,None,
PRJ-1006_SQ070_SH0070,PRJ-1006,SQ070,SQ070_SH0070,Lighting,ART-043,2025-05-25,TBD,2025-06-08,2025-06-18,2025-05-29,2025-06-20,Final,Medium,Low,25.1,24.0,1,0,1,1,None,Editorial turnover changed after first pass
PRJ-1014_SQ060_SH0060,PRJ-1014,SQ060,SQ060_SH0060,Compositing,ART-015,2026-05-16,2026-05-21,2026-05-27,2026-05-25,2026-05-24,2026-05-25,Delivered,Low,Medium,36.8,37.1,0,2,2,0,None,Dependent on upstream FX delivery
PRJ-1011_SQ040_SH0030,PRJ-1011,SQ040,SQ040_SH0030,Matchmove,ART-031,2025-08-22,2025-08-22,2025-09-02,2025-09-05,2025-08-24,2025-09-06,Delivered,Critical,Medium,26.6,32.4,2,1,3,0,Plate Prep,Dependent on upstream FX delivery
PRJ-1012_SQ040_SH0080,PRJ-1012,SQ040,SQ040_SH0080,Compositing,ART-059,2026-06-19,2026-06-19,2026-07-05,,2026-06-23,,Client Review,High,Medium,47.7,38.5,2,2,4,0,Plate Prep,Client requested alternate color treatment
PRJ-1009_SQ010_SH0040,PRJ-1009,SQ010,SQ010_SH0040,Matchmove,ART-050,2025-05-24,2025-05-28,2024-01-01,2025-06-12,2025-05-30,2025-06-15,Approved,Medium,High,29.8,33.1,1,2,3,0,None,
PRJ-1009_SQ060_SH0010,PRJ-1009,SQ060,SQ060_SH0010,Matchmove,ART-057,2025-04-01,2025-04-03,2025-04-17,2025-04-16,2025-04-06,2025-04-18,Approved,Critical,Very High,40.3,62.6,3,3,6,0,Plate Prep,
PRJ-1011_SQ020_SH0060,PRJ-1011,SQ020,SQ020_SH0060,Compositing,ART-059,2025-10-15,2025-10-15,2025-10-25,2025-10-26,2025-10-18,2025-10-26,Delivered,Medium,Low-Medium,32.7,37.7,1,2,3,0,None,
PRJ-1006_SQ030_SH0010,PRJ-1006,SQ030,SQ030_SH0010,Compositing,ART-019,2024-10-06,2024-10-08,2024-10-24,2024-10-23,2024-10-13,2024-10-23,Delivered,Medium,Very High,61.2,64.7,3,1,4,0,3D Asset,
PRJ-1009_SQ050_SH0020,PRJ-1009,SQ050,SQ050_SH0020,Animation,ART-006,2025-04-27,2025-04-27,2025-05-11,2025-05-22,2025-05-02,2025-05-22,Approved,,High,58.5,63.5,4,1,5,0,None,Client requested alternate color treatment
PRJ-1004_SQ090_SH0020,PRJ-1004,SQ090,SQ090_SH0020,Roto/Paint,ART-028,2024-07-15,2024-07-20,2024-07-25,2024-08-01,2024-07-21,2024-08-01,Approved,High,Medium,15.3,18.1,1,2,3,0,Client Plate,Additional cleanup discovered during review
PRJ-1010_SQ010_SH0020,PRJ-1010,SQ010,SQ010_SH0020,Roto/Paint,ART-049,2025-06-10,2025-06-15,2025-06-24,2025-06-30,2025-06-16,2025-06-30,Delivered,Medium,Low-Medium,13.4,16.1,3,1,4,0,Plate Prep,Dependent on upstream FX delivery
PRJ-1014_SQ060_SH0070,PRJ-1014,SQ060,SQ060_SH0070,Assets,ART-022,2026-06-01 00:00:00,2026-06-03,2026-06-23,,2026-06-12,,WIP,High,High,110.6,45.4,2,2,4,0,None,Additional cleanup discovered during review
PRJ-1012_SQ100_SH0060,PRJ-1012,SQ100,SQ100_SH0060,Compositing,ART-039,2026-04-14,2026-04-18,2026-04-28,2026-05-04,2026-04-21,2026-05-06,Approved,Medium,Medium,39.4,56.4,3,0,3,0,External Simulation,Additional cleanup discovered during review
PRJ-1012_SQ010_SH0060,PRJ-1012,SQ010,SQ010_SH0060,Matchmove,ART-050,2026-03-23,2026-03-26,2026-04-02,2026-03-29,2026-03-27,2026-03-29,Delivered,High,Medium,22.3,24.7,1,1,2,0,None,
PRJ-1014_SQ030_SH0010,PRJ-1014,SQ030,SQ030_SH0010,Matte Painting,ART-051,2026-02-14,2026-02-18,2026-02-28,,2026-02-21,,Pending Review,Medium,Low-Medium,33.6,28.7,0,2,4,2,External Simulation,Client requested alternate color treatment
PRJ-1004_SQ050_SH0060,PRJ-1004,SQ050,SQ050_SH0060,Animation,ART-026,2024-10-19,2024-10-19,2024-11-01,2024-11-13,2024-10-24,2024-11-15,Delivered,High,High,60.0,62.0,2,1,3,8,None,Client requested alternate color treatment
PRJ-1010_SQ080_SH0020,PRJ-1010,SQ080,SQ080_SH0020,Animation,ART-026,2025-06-28,2025-06-29,2025-07-14,15-Jul-2025,2025-07-03,2025-07-15,Delivered,Medium,Medium,46.5,55.5,2,2,4,0,None,
PRJ-1010_SQ080_SH0040,PRJ-1010,SQ080,SQ080_SH0040,Matte Painting,ART-029,2025-08-25,2025-08-26,2025-09-17,2025-09-23,2025-09-02,2025-09-23,Delivered,High,High,89.5,105.6,3,1,4,2,External Simulation,
PRJ-1010_SQ030_SH0060,PRJ-1010,SQ030,SQ030_SH0060,Assets,ART-037,2025-10-04,2025-10-04,2025-10-25,2025-11-02,2025-10-13,2025-11-03,Approved,High,High,102.7,142.0,3,3,6,0,3D Asset,Editorial turnover changed after first pass
PRJ-1002_SQ010_SH0060,PRJ-1002,SQ010,SQ010_SH0060,Assets,ART-001,2024-07-26,2024-07-29,2024-08-07,2024-08-18,2024-08-01,2024-08-19,Approved,Critical,Low,33.5,36.6,1,1,2,3,Client Plate,
PRJ-1005_SQ010_SH0120,PRJ-1005,SQ010,SQ010_SH0120,Roto/Paint,ART-021,2025-01-09,2025-01-14,2025-01-19,2025-01-24,2025-01-15,2025-01-26,Final,Medium,Low-Medium,14.1,18.7,0,1,3,3,External Simulation,Additional cleanup discovered during review
PRJ-1013_SQ040_SH0040,PRJ-1013,SQ040,SQ040_SH0040,Matte Painting,,2026-03-01,2026-03-03,2026-03-11,2026-03-06,2026-03-06,2026-03-06,Delivered,High,Low-Medium,38.3,42.5,1,1,2,0,Plate Prep,
PRJ-1013_SQ020_SH0080,PRJ-1013,SQ020,SQ020_SH0080,Animation,ART-041,2026-03-31,2026-04-02,2026-04-12,2026-04-14,2026-04-05,2026-04-16,Delivered,Medium,Medium,37.0,39.5,1,0,1,1,Client Plate,Editorial turnover changed after first pass
PRJ-1012_SQ020_SH0060,PRJ-1012,SQ020,SQ020_SH0060,Roto/Paint,ART-021,2026-03-27,2026-04-01,2026-04-12,2026-04-21,2026-04-02,2026-04-21,Delivered,High,Low,10.2,15.2,2,0,2,0,Client Plate,Dependent on upstream FX delivery
PRJ-1012_SQ100_SH0070,PRJ-1012,SQ100,SQ100_SH0070,Matte Painting,ART-007,2026-05-30,2026-06-01,2026-06-19,2026-06-18,2026-06-06,2026-06-19,Approved,Low,Medium,67.4,83.8,1,2,3,0,Client Plate,
PRJ-1010_SQ080_SH0040,PRJ-1010,SQ080,SQ080_SH0040,Matte Painting,ART-029,2025-08-25,2025-08-26,2025-09-17,2025-09-23,2025-09-02,2025-09-23,Delivered,High,High,89.5,105.6,3,1,4,2,External Simulation,
PRJ-1003_SQ040_SH0040,PRJ-1003,SQ040,SQ040_SH0040,Animation,ART-041,2024-05-10,2024-05-12,2024-05-27,2024-05-25,2024-05-17,2024-05-28,On-Hold,Medium,Medium,58.4,67.9,2,2,4,0,Plate Prep,
PRJ-1013_SQ040_SH0030,PRJ-1013,SQ040,SQ040_SH0030,Lighting,ART-018,2026-02-21,2026-02-26,2026-03-10,2026-03-15,2026-03-01,2026-03-15,Approved,High,Medium,42.2,50.7,3,2,5,0,None,Additional cleanup discovered during review
PRJ-1001_SQ030_SH0100,PRJ-1001,SQ030,SQ030_SH0100,Lighting,ART-014,2024-07-13,2024-07-17,2024-07-27,2024-08-09,2024-07-21,2024-08-09,Delivered,Low,Medium,45.1,48.9,1,2,3,0,None,
PRJ-1009_SQ010_SH0050,PRJ-1009,SQ010,SQ010_SH0050,Matchmove,ART-045,2025-06-21,2025-06-26,2025-07-04,2025-07-08,2025-06-28,2025-07-09,Final,Medium,Medium,22.9,20.8,2,1,3,0,None,Client requested alternate color treatment
PRJ-1006_SQ100_SH0070,PRJ-1006,SQ100,SQ100_SH0070,Compositing,ART-015,2025-06-07,2025-06-11,2025-06-23,2025-07-04,2025-06-12,2025-07-04,Delivered,Medium,Low,20.8,20.3,1,2,3,12,External Simulation,Client requested alternate color treatment
PRJ-1009_SQ050_SH0040,PRJ-1009,SQ050,SQ050_SH0040,Tracking,ART-031,2025-06-09,2025-06-12,2025-06-23,2025-06-29,2025-06-13,2025-06-30,Approved,Medium,Medium,18.1,19.6,2,1,3,0,None,
PRJ-1008_SQ080_SH0040,PRJ-1008,SQ080,SQ080_SH0040,FX,ART-054,2025-04-26,2025-05-01,2025-05-20,2025-05-26,2025-05-08,2025-05-29,Approved,High,High,81.4,92.0,1,2,3,0,None,
PRJ-1014_SQ030_SH0080,PRJ-1014,SQ030,SQ030_SH0080,Compositing,ART-040,2026-06-08,2026-06-13,2026-06-18,,2026-06-15,,WIP,Medium,Low,25.7,8.1,1,0,1,2,Client Plate,
PRJ-1012_SQ110_SH0070,PRJ-1012,SQ110,SQ110_SH0070,Matchmove,ART-057,2026-06-05,2026-06-05,2026-06-12,2026-06-19,2026-06-07,2026-06-20,Final,Medium,High,29.5,37.6,2,1,3,0,3D Asset,
PRJ-1014_SQ050_SH0060,PRJ-1014,SQ050,SQ050_SH0060,Compositing,ART-060,2026-05-13,2026-05-14,2026-05-28,,2026-05-18,,WIP,Medium,High,47.9,22.5,3,1,4,3,3D Asset,
PRJ-1015_SQ030_SH0060,PRJ-1015,SQ030,SQ030_SH0060,Matte Painting,ART-051,2026-06-14,,2026-06-24,,,,Not Started,High,Low,31.5,23.2,1,0,-1,0,External Simulation,
PRJ-1012_SQ120_SH0010,PRJ-1012,SQ120,SQ120_SH0010,Compositing,ART-019,2025-10-31,2025-11-03,2025-11-12,2025-11-14,2025-11-05,2025-11-14,Approved,Medium,Low-Medium,23.2,21.1,1,0,1,0,Client Plate,Heavy grain matching required
PRJ-1002_SQ110_SH0040,PRJ-1002,SQ110,SQ110_SH0040,Roto/Paint,ART-021,2024-06-03,2024-06-07,2024-06-16,2024-06-16,2024-06-08,2024-06-18,Approved,Medium,High,18.8,23.9,2,0,2,0,None,
PRJ-1012_SQ050_SH0080,PRJ-1012,SQ050,SQ050_SH0080,FX,ART-011,2026-06-09,2026-06-09,2026-06-18,,2026-06-12,,WIP,High,Low-Medium,44.2,13.1,1,0,3,0,Client Plate,
PRJ-1007_SQ040_SH0040,PRJ-1007,SQ040,SQ040_SH0040,Assets ,ART-005,2025-01-28,2025-01-30,2025-02-13,2025-02-15,2025-02-05,2025-02-16,Approved,High,Low-Medium,71.5,87.5,2,0,,2,None,
PRJ-1009_SQ040_SH0080,PRJ-1009,SQ040,SQ040_SH0080,Compositing,ART-009,2025-09-17,2025-09-20,2025-10-02,2025-10-10,2025-09-23,2025-10-13,Delivered,Critical,Low-Medium,38.2,50.5,3,1,4,0,External Simulation,
PRJ-1005_SQ020_SH0050,PRJ-1005,SQ020,SQ020_SH0050,Compositing,ART-024,2024-10-01,2024-10-03,2024-10-11,2024-10-13,2024-10-06,2024-10-14,Final,Medium,Low-Medium,35.6,42.4,1,1,2,0,External Simulation,
PRJ-1007_SQ050_SH0050,PRJ-1007,SQ050,SQ050_SH0050,Compositing,ART-025,2025-02-06,2025-02-10,2025-02-22,2025-02-20,2025-02-15,2025-02-23,Approved,Medium,High,59.1,62.1,2,1,3,0,3D Asset,
PRJ-1012_SQ010_SH0030,PRJ-1012,SQ010,SQ010_SH0030,Assets,ART-016,2025-12-14,2025-12-19,2026-01-02,2026-01-06,2025-12-24,2026-01-08,Final,High,High,64.8,0,2,2,4,1,3D Asset,
PRJ-1004_SQ100_SH0060,PRJ-1004,SQ100,SQ100_SH0060,Compositing,ART-025,2024-10-22,2024-10-26,2024-10-30,2024-10-30,2024-10-27,2024-11-02,Approved,Medium,Low-Medium,20.1,22.0,2,2,4,0,None,
PRJ-1013_SQ030_SH0050,PRJ-1013,SQ030,SQ030_SH0050,Compositing,ART-009,2026-03-10,2026-03-15,2026-03-27,2026-03-25,2026-03-18,2026-03-25,Delivered,High,Low-Medium,34.7,32.0,1,0,1,0,None,
PRJ-1010_SQ030_SH0010,PRJ-1010,SQ030,SQ030_SH0010,Matchmove,ART-050,2025-05-13,2025-05-16,2025-05-22,2025-05-28,2025-05-17,2025-05-31,Final,Low,Low-Medium,21.2,22.8,1,3,4,0,None,Heavy grain matching required
PRJ-1010_SQ020_SH0040,PRJ-1010,SQ020,SQ020_SH0040,Matchmove,ART-050,2025-08-08,2025-08-08,2025-08-19,2025-08-15,2025-08-09,2025-08-15,Final,Medium,Low-Medium,18.6,21.2,2,0,2,0,3D Asset,
PRJ-1002_SQ050_SH0030,PRJ-1002,SQ050,SQ050_SH0030,Compositing,ART-008,2024-04-25,2024-04-27,2024-05-10,2024-05-16,2024-04-28,2024-05-18,Approved,Critical,Low-Medium,0,26.5,3,1,4,0,3D Asset,
PRJ-1006_SQ060_SH0060,PRJ-1006,SQ060,SQ060_SH0060,Lighting,ART-018,2025-04-10,2025-04-10,2025-04-18,2025-04-18,2025-04-12,2025-04-18,Delivered,Critical,Medium,27.0,24.4,2,0,2,0,External Simulation,Client requested alternate color treatment
PRJ-1010_SQ050_SH0100,PRJ-1010,SQ050,SQ050_SH0100,Compositing,ART-024,2026-02-02,2026-02-07,2026-02-17,2026-02-21,2026-02-11,2026-02-23,Approved,Low,Medium,50.0,54.0,1,0,1,0,None,
PRJ-1002_SQ110_SH0010,PRJ-1002,SQ110,SQ110_SH0010,Animation,ART-041,2024-02-24,2024-02-27,2024-03-13,2024-03-20,2024-03-05,2024-03-22,Delivered,High,Very High,75.5,90.9,3,2,5,0,Plate Prep,Additional cleanup discovered during review
PRJ-1006_SQ010_SH0050,PRJ-1006,SQ010,SQ010_SH0050,Roto/Paint,ART-044,2025-02-16,2025-02-20,2025-02-27,2025-03-01,2025-02-21,2025-03-04,Approved,Medium,Low-Medium,10.6,13.5,0,0,0,5,3D Asset,Additional cleanup discovered during review
PRJ-1012_SQ030_SH0010,PRJ-1012,SQ030,SQ030_SH0010,Assets,ART-001,2025-10-09,2025-10-13,2025-10-25,,2025-10-16,,Client Review,High,Medium,40.5,22.9,1,0,1,0,Client Plate,
PRJ-1015_SQ060_SH0080,PRJ-1015,SQ060,SQ060_SH0080,Compositing,ART-010,2026-07-23,2026-07-23,2026-08-03,,,,WIP,Medium,Medium,48.0,32.9,2,0,2,0,None,
PRJ-1010_SQ010_SH0030,PRJ-1010,SQ010,SQ010_SH0030,Animation,ART-038,2025-07-15,2025-07-15,2025-08-04,2025-08-14,2025-07-22,2025-08-15,Final,Medium,Very High,79.0,102.4,2,2,4,0,None,
PRJ-1007_SQ010_SH0030,PRJ-1007,SQ010,SQ010_SH0030,Animation,ART-041,2025-01-26,2025-01-26,2025-02-16,2025-02-18,2025-02-02,2025-02-19,Delivered,Medium,Very High,82.7,90.7,2,0,2,0,None,
PRJ-1011_SQ020_SH0090,PRJ-1011,SQ020,SQ020_SH0090,Matte Painting,ART-055,2025-12-25,2025-12-29,2026-01-09,2026-01-06,2026-01-02,2026-01-08,Delivered,Critical,Low-Medium,47.9,44.4,1,0,1,0,None,Heavy grain matching required
PRJ-1007_SQ010_SH0050,PRJ-1007,SQ010,SQ010_SH0050,Compositing,ART-019,2025-02-08,2025-02-12,2025-03-01,2025-03-08,2025-02-16,2025-03-09,Delivered,Critical,Medium,51.9,56.6,4,0,4,0,External Simulation,
PRJ-1002_SQ100_SH0060,PRJ-1002,SQ100,SQ100_SH0060,Compositing,,2024-08-14,8/15/2024,2024-08-31,2024-09-04,2024-08-19,2024-09-06,Delivered,High,High,48.5,74.5,2,2,4,0,None,Client requested alternate color treatment
PRJ-1006_SQ060_SH0050,PRJ-1006,SQ060,SQ060_SH0050,Matchmove,ART-031,2025-03-13,2025-03-15,2025-03-28,2025-04-01,2025-03-16,2025-04-02,Delivered,Medium,Medium,20.9,22.0,2,1,3,1,None,
PRJ-1012_SQ090_SH0010,PRJ-1012,SQ090,SQ090_SH0010,Compositing,ART-040,2025-11-01,2025-11-03,2025-11-20,,2025-11-08,,Client Review,High,High,55.3,38.5,1,2,3,5,None,Editorial turnover changed after first pass
PRJ-1008_SQ030_SH0080,PRJ-1008,SQ030,SQ030_SH0080,Compositing,ART-009,2025-07-16,2025-07-21,2025-07-28,2025-08-10,2025-07-24,2025-08-11,Approved,Medium,Very High,41.9,56.4,4,1,5,0,3D Asset,Dependent on upstream FX delivery
PRJ-1015_SQ050_SH0090,PRJ-1015,SQ050,SQ050_SH0090,Compositing,ART-020,2026-08-10,2026-08-11,2026-08-20,,,,Pending Review,High,Medium,44.6,42.1,3,2,5,1,Client Plate,Client requested alternate color treatment
PRJ-1005_SQ030_SH0030,PRJ-1005,SQ030,SQ030_SH0030,Roto/Paint,ART-049,2024-09-07,2024-09-11,2024-09-23,2024-09-26,2024-09-13,2024-09-28,Approved,Critical,Very High,28.6,26.0,1,0,1,2,Client Plate,Heavy grain matching required
PRJ-1014_SQ060_SH0120,PRJ-1014,SQ060,SQ060_SH0120,Compositing,ART-009,2026-09-01,2026-09-03,2026-09-09,,,,WIP,Medium,Low,20.5,13.9,1,1,2,0,None,Editorial turnover changed after first pass
PRJ-1002_SQ070_SH0030,PRJ-1002,SQ070,SQ070_SH0030,Compositing,ART-015,2024-04-21,2024-04-22,2024-05-06,2024-05-16,2024-04-25,2024-05-19,Approved,Medium,Medium,38.4,41.5,2,1,-1,0,None,Dependent on upstream FX delivery
PRJ-1010_SQ020_SH0070,PRJ-1010,SQ020,SQ020_SH0070,Compositing,ART-046,2025-11-06,2025-11-10,2025-11-18,2025-11-28,2025-11-13,2025-11-28,Approved,High,High,37.2,54.3,2,3,5,1,None,
