table,column,observed_type,expected_type,definition,nullable,key,expected_unique,valid_values,relationship,unit,notes,cleaning_expectation,warning_resolution,reviewed
clients,active_flag,VARCHAR,Boolean,Indicates whether the client relationship is currently active.,No nulls allowed,Not a key,Not required,Y = active; N = inactive.,,,"The raw field uses Y, Yes, TRUE, and Active for the same active state.",Standardize affirmative values to Y and negative equivalents to N; investigate unrecognized values.,The raw text field uses several encodings for one boolean concept. The cleaned field will use only Y and N.,Yes
clients,account_manager,VARCHAR,Text,Internal account owner responsible for managing the studio’s relationship with the client.,No nulls allowed,Not a key,Not required,Person name in First Last format.,,,Repeated manager names are valid because one account manager may own multiple client relationships.,Trim whitespace and standardize name presentation without treating legitimate repetition as duplicate data.,,Yes
clients,notes,VARCHAR,Text,"Optional free-form account notes containing client-specific context, exceptions, or operational information.",Nulls allowed,Not a key,Not required,"Free-form text, or null when no account note is recorded.",,,"All current raw rows are blank, which is acceptable for this optional field.",Trim populated notes and convert empty strings to null.,The high null rate is expected for an optional notes field and does not require imputation.,Yes
projects,project_id,VARCHAR,Identifier text,Unique identifier assigned to each VFX production project.,No nulls allowed,Primary key,Required,"PRJ-####: uppercase PRJ, a hyphen, and four digits.",,,The raw table contains 16 rows and 15 distinct project IDs; PRJ-1005 appears twice as an exact duplicate.,"Remove the exact duplicate row, retain one canonical project record, standardize the identifier, and verify uniqueness and completeness.",project_id remains the intended primary key. The repeated value is an exact duplicate raw record.,Yes
projects,client_id,VARCHAR,Identifier text,Identifier of the client account that commissioned or owns the production project.,No nulls allowed,Foreign key,Not required,"CL-###: uppercase CL, a hyphen, and three digits.",clients.client_id,,"PRJ-1003 contains CL-004 with surrounding whitespace, and PRJ-1011 references nonexistent client CL-999.",Trim and standardize identifiers; correct only confirmed client assignments and quarantine unresolved orphan references from relationship-dependent analysis.,client_id remains a required foreign key. The whitespace variant is recoverable; CL-999 must be corrected or quarantined.,Yes
projects,project_name,VARCHAR,Text,Business-facing title used to identify the production project.,No nulls allowed,Not a key,Not required,Trimmed project title in consistent display casing.,,,Starforge Cinematic repeats only because the complete PRJ-1005 row is duplicated.,Trim whitespace and remove repeated names only as part of exact-row deduplication; project_id remains the identifier.,,Yes
projects,project_type,VARCHAR,Category text,Category describing the project’s production format or type of work.,No nulls allowed,Not a key,Not required,Commercial; Episodic; Feature Film; Game Cinematic; Independent Feature; Streaming Series; Trailer.,,,,Trim whitespace and standardize to the approved project-type labels.,,Yes
projects,start_date,VARCHAR,Date,Date on which production work for the project officially began or was scheduled to begin.,No nulls allowed,Not a key,Not required,YYYY-MM-DD.,,,"The raw text field contains mixed date formats, including 15-Jan-2026.","Parse valid source formats, store as a true date, and display consistently as YYYY-MM-DD.",The field is logically a date; mixed source formats explain the observed text type and will be standardized.,Yes
projects,target_delivery_date,DATE,Date,Planned date by which the project is expected to be delivered to the client.,No nulls allowed,Not a key,Not required,YYYY-MM-DD and on or after start_date.,,,One project has a target date earlier than its start date.,"Preserve valid dates, investigate and correct the impossible sequence, and validate target_delivery_date >= start_date.",The date-order violation is a raw-data defect and must be corrected before schedule analysis.,Yes
projects,actual_delivery_date,VARCHAR,Date,Date on which the completed project was actually delivered to the client.,Conditionally nullable,Not a key,Not required,"YYYY-MM-DD, or null while the project has not been delivered.",,,The raw text field contains mixed formats and five blanks associated with unfinished projects.,"Parse valid dates, preserve legitimate nulls for unfinished projects, and require a date when the standardized status is Completed.",Nulls are valid for unfinished projects; mixed date formats explain the observed text type and will be standardized.,Yes
projects,status,VARCHAR,Category text,Current lifecycle stage of the production project.,No nulls allowed,Not a key,Not required,Active; In Progress; In Delivery; Completed.,,,The raw field includes variants such as complete and In-Progress.,Trim whitespace and map variants to the four approved lifecycle statuses.,Multiple raw labels represent the same project states and will be standardized.,Yes
projects,priority,VARCHAR,Category text,Production priority assigned to the project for scheduling and resource-planning decisions.,No nulls allowed,Not a key,Not required,Medium; High; Critical.,,,,Trim whitespace and standardize capitalization to the approved values.,,Yes
projects,planned_shot_count,BIGINT,Integer,Number of VFX shots planned within the project’s approved production scope.,No nulls allowed,Not a key,Not required,Positive whole number.,,Shots,,"Preserve valid positive integers and investigate missing, zero, negative, or fractional values.",,Yes
projects,budget_hours,VARCHAR,Decimal,Total labor hours budgeted for completion of the project.,No nulls allowed,Not a key,Not required,Positive numeric value.,,Labor hours,"The raw text field contains one missing value, one negative value (-250), and one formatted value (2,551.0 hrs).","Remove formatting text, convert to decimal, obtain confirmed replacements for missing or invalid budgets, and reject non-positive values before analysis.","The field is expected to be numeric and required; raw formatting, a blank, and a negative value explain the text type and require remediation.",Yes
projects,producer,VARCHAR,Text,"Producer responsible for coordinating the project schedule, staffing, client communication, and delivery.",No nulls allowed,Not a key,Not required,Person name in First Last format.,,,Repeated names are valid because one producer may oversee multiple projects.,Trim whitespace and standardize name presentation while preserving legitimate repetition.,,Yes
projects,vfx_supervisor,VARCHAR,Text,VFX supervisor responsible for the project’s creative and technical visual-effects oversight.,No nulls allowed,Not a key,Not required,"Recorded person name, commonly initial and surname.",,,Repeated names are valid because one supervisor may oversee multiple projects.,Trim whitespace and preserve the established name format.,,Yes
projects,fps,DOUBLE,Decimal,Frame rate at which the project is produced and delivered.,No nulls allowed,Not a key,Not required,23.976; 24; 25; 29.97.,,Frames per second,,Preserve valid positive frame rates as decimals and investigate unsupported values.,,Yes
projects,resolution,VARCHAR,Category text,Target image resolution and framing specification for project delivery.,No nulls allowed,Not a key,Not required,2K Flat; 2K Scope; 4K DCI; 4K UHD.,,,,Trim whitespace and standardize to the approved resolution labels.,,Yes
projects,delivery_format,VARCHAR,Category text,File format and bit depth required for the project’s final image delivery.,No nulls allowed,Not a key,Not required,DPX 10-bit; EXR 16-bit; EXR 32-bit; ProRes 4444.,,,,Trim whitespace and standardize to the approved delivery-format labels.,,Yes
reviews,review_id,VARCHAR,Identifier text,Unique identifier assigned to each recorded shot-review event.,No nulls allowed,Primary key,Required,"REV-#######: uppercase REV, a hyphen, and seven digits.",,,"The raw table contains 3,883 rows and 3,843 distinct review IDs, producing 40 repeated rows.","Remove exact duplicate review rows, quarantine conflicting repeated IDs, and verify that the cleaned key is unique and non-null.",review_id remains the intended primary key. Repeated IDs are raw-data defects rather than a change to the event grain.,Yes
reviews,shot_id,VARCHAR,Identifier text,Identifier of the production shot evaluated during the review event.,No nulls allowed,Foreign key,Not required,PRJ-####_SQ###_SH####.,shots.shot_id,,"The raw table has nine null shot IDs and 26 non-null values that do not match a shot, including placeholder and case-format issues.","Trim and uppercase valid IDs, correct only confidently recoverable values, and quarantine null, placeholder, or unresolved references.",shot_id remains a required foreign key; unresolved review-to-shot references must be excluded from joined review analysis.,Yes
reviews,project_id,VARCHAR,Identifier text,Identifier of the production project associated with the reviewed shot.,No nulls allowed,Foreign key,Not required,PRJ-####.,projects.project_id,,The raw table contains project-key issues and some project IDs disagree with the project derived from shot_id.,"Trim and uppercase IDs, validate them against projects.project_id, reconcile each value to the related shot’s project, and quarantine unresolved contradictions.",project_id remains a required foreign key and must agree with both the Projects table and the project inherited through shot_id.,Yes
reviews,review_date,VARCHAR,Date,Calendar date on which review feedback was recorded.,No nulls allowed,Not a key,Not required,YYYY-MM-DD.,,,"The raw text field contains 72 mixed, blank, placeholder, or invalid date issues, including TBD and impossible dates.","Parse valid formats, store as a true date, and quarantine blank, placeholder, or impossible values that cannot be corrected reliably.",The field is logically a required date; malformed source values explain the text type and require cleaning.,Yes
reviews,review_round,VARCHAR,Integer,Sequential number representing the review round reached by the shot.,No nulls allowed,Not a key,Not required,Positive whole number beginning at 1.,,Review round,"The raw text field includes Round 2, 03, first, blanks, and -1.","Convert confidently interpretable values to positive integers, validate sequence within each shot, and quarantine unresolved or non-positive values.",The field is expected to be an integer; malformed source labels and invalid values explain the observed text type.,Yes
reviews,review_type,VARCHAR,Category text,Indicates whether the review was conducted internally or by a client-side reviewer.,No nulls allowed,Not a key,Not required,Internal Review; Client Review.,,,,Trim whitespace and standardize to the two approved review types.,,Yes
reviews,feedback_source,VARCHAR,Category text,Role or stakeholder group responsible for supplying the review feedback.,No nulls allowed,Not a key,Not required,Department Lead; Comp Supervisor; VFX Supervisor; Client Supervisor; Agency Creative.,,,Repeated values are expected because the same role category applies to many review events.,Trim whitespace and standardize capitalization without combining genuinely different feedback-source roles.,,Yes
reviews,outcome,VARCHAR,Category text,"Result assigned to the review event, indicating acceptance, requested changes, notes, or a hold.",No nulls allowed,Not a key,Not required,Approved; Approved with Notes; Changes Requested; Minor Notes; Hold.,,,"The raw field contains 45 inconsistencies, including approved, CHANGE REQUEST, Minor notes with trailing whitespace, and Hold/Waiting.",Trim whitespace and map known variants to the five approved outcomes; investigate unfamiliar values before mapping.,Multiple raw labels represent the same review outcomes and will be standardized for consistent approval and revision metrics.,Yes
reviews,note_category,VARCHAR,Category text,Primary category describing the type of feedback or correction recorded during the review.,No nulls allowed,Not a key,Not required,Color; Technical; Integration; Client Preference; Timing; Editorial Change; Edge Work; Continuity.,,,,Trim whitespace and standardize to the approved feedback categories; validate logical consistency with the review outcome.,,Yes
reviews,response_hours,VARCHAR,Decimal,Number of elapsed hours until review feedback was acknowledged or addressed.,No nulls allowed,Not a key,Not required,Non-negative decimal value.,,Hours,"The raw text field contains blanks, pending, negative values, and extreme values such as 240 hours.","Convert valid values to decimal, reject negatives, investigate blanks and extreme values against review context and client SLA, and exclude unresolved values from averages.",The field is expected to be numeric and non-negative; malformed and extreme source values explain the text type and require remediation.,Yes
reviews,reviewer,VARCHAR,Text,Name of the individual recorded as conducting or communicating the review.,No nulls allowed,Not a key,Not required,"Recorded person name, either full name or initial and surname.",,,Repeated reviewer names are expected because one person may review many shots.,Trim whitespace and standardize display formatting where the same person can be identified confidently.,,Yes
reviews,notes,VARCHAR,Text,Optional free-form text providing additional context about review feedback or requested changes.,Nulls allowed,Not a key,Not required,"Free-form text, or null when no additional comment is recorded.",,,Missing notes and repeated common instructions are expected and do not by themselves indicate duplicate reviews.,"Trim populated text, convert empty strings to null, and preserve the original wording.",,Yes
shots,shot_id,VARCHAR,Identifier text,"Unique identifier combining the owning project, editorial sequence, and shot code.",No nulls allowed,Primary key,Required,PRJ-####_SQ###_SH####.,,,"The raw table contains 1,136 rows and 1,112 distinct shot IDs, producing 24 repeated rows.","Remove exact duplicate rows, quarantine conflicting repeated IDs, standardize casing and whitespace, and verify uniqueness and completeness.",shot_id remains the intended primary key. Repeated IDs are raw-data defects rather than a change to the one-shot grain.,Yes
shots,project_id,VARCHAR,Identifier text,Identifier of the project that owns the production shot.,No nulls allowed,Foreign key,Not required,PRJ-####.,projects.project_id,,"The raw field contains 18 project-key issues, including whitespace, lowercase IDs, and nonexistent PRJ-9999 values.","Trim and uppercase identifiers, validate against projects.project_id, reconcile the project prefix in shot_id, and quarantine unresolved references.",project_id remains a required foreign key. Recoverable formatting issues will be standardized; nonexistent or contradictory values require correction or quarantine.,Yes
shots,sequence_code,VARCHAR,Identifier text,Editorial sequence identifier within the owning project.,No nulls allowed,Not a key,Not required,SQ###: uppercase SQ followed by three digits.,,,,"Trim whitespace, standardize casing, and verify that the value matches the sequence portion of shot_id.",,Yes
shots,shot_name,VARCHAR,Identifier text,Shot code used to identify the shot within its project.,No nulls allowed,Not a key,Not required,SQ###_SH####.,,,,"Trim whitespace, standardize casing, and verify consistency with the sequence and shot portions of shot_id.",,Yes
shots,department,VARCHAR,Category text,Production department responsible for the shot’s current or final task.,No nulls allowed,Not a key,Not required,Animation; Assets; Compositing; FX; Lighting; Matchmove; Matte Painting; Roto/Paint.,,,"The raw field contains 16 category issues, including trailing spaces, case variants, Tracking, ROTO, and DMP.","Trim whitespace and map known variants such as Tracking to Matchmove, ROTO to Roto/Paint, and DMP to Matte Painting.",The raw variants represent the approved department categories and will be standardized before departmental reporting.,Yes
shots,assigned_artist_id,VARCHAR,Identifier text,Identifier of the primary artist assigned to the production shot.,Conditionally nullable,Foreign key,Not required,"ART-###, or null only while a shot is legitimately unassigned.",artists.artist_id,,The raw field contains six blanks and additional whitespace or nonexistent ART-999 references; some blanks occur on completed shots.,"Trim and uppercase IDs, validate against artists.artist_id, preserve null only for legitimately unassigned work, and correct or quarantine missing assignments on progressed shots.","Null is permitted only before assignment. Populated IDs remain foreign keys, and missing or orphaned assignments on progressed shots require remediation.",Yes
shots,assigned_date,VARCHAR,Date,Date on which the shot was assigned to its primary artist.,Conditionally nullable,Not a key,Not required,"YYYY-MM-DD, or null only while the shot is unassigned.",,,"The raw text field contains blanks, TBD, timestamps, and alternate date formats; some missing values occur on completed shots.","Parse valid formats, preserve null only for genuinely unassigned shots, and validate assigned_date against assignment and start_date.",The field is logically a date; mixed formats and inappropriate blanks explain the text type and require cleaning.,Yes
shots,start_date,VARCHAR,Date,Date production work began on the shot.,Conditionally nullable,Not a key,Not required,"YYYY-MM-DD, or null only while status is Not Started.",,,"The raw text field contains mixed formats, TBD, and 23 blanks; some blanks occur on progressed shots.","Parse valid formats, preserve null only for not-started work, and correct or quarantine invalid or missing dates on progressed shots.",The field is logically a date. Conditional nulls are valid before work starts; other blanks and malformed values require remediation.,Yes
shots,deadline,VARCHAR,Date,Required delivery date for the production shot.,No nulls allowed,Not a key,Not required,YYYY-MM-DD and on or after assigned_date/start_date when those dates exist.,,,"The raw text field includes alternate formats, one blank, and date-order defects.","Parse valid formats, correct or quarantine the missing value, and validate logical order against assignment, start, and delivery dates.",The field is a required date; formatting and date-order defects must be resolved before overdue and on-time-delivery analysis.,Yes
shots,delivery_date,VARCHAR,Date,Date on which the shot was delivered.,Conditionally nullable,Not a key,Not required,"YYYY-MM-DD, or null until the shot is delivered.",,,The raw text field contains 154 blanks plus alternate formats and invalid sequencing; some nulls are expected for open shots.,"Parse valid dates, preserve nulls for undelivered shots, require a date for delivered work, and validate it against start_date and deadline.",Nulls are valid only for undelivered shots; mixed formats and impossible date order require cleaning.,Yes
shots,first_pass_date,VARCHAR,Date,Date the shot was first submitted for production review.,Conditionally nullable,Not a key,Not required,"YYYY-MM-DD, or null before the first review submission.",,,"The raw text field includes blanks, mixed formats, and invalid dates such as 2025-13-05.","Parse valid dates, preserve null only before first submission, and quarantine invalid or chronologically inconsistent values.",The field is logically a conditional date; malformed values and inappropriate blanks require remediation.,Yes
shots,final_approval_date,VARCHAR,Date,Date the shot received final production approval.,Conditionally nullable,Not a key,Not required,"YYYY-MM-DD, or null until final approval.",,,"The raw text field includes 156 blanks, TBD values, and alternate formats; many blanks are expected for work not yet approved.","Parse valid dates, preserve nulls before approval, require a date for approved/final/delivered work as appropriate, and validate chronological order.",Nulls are conditional on workflow status; mixed or invalid source values will be standardized or quarantined.,Yes
shots,status,VARCHAR,Category text,Current or final workflow stage of the production shot.,No nulls allowed,Not a key,Not required,Not Started; WIP; Pending Review; Client Review; Approved; Final; Delivered; On Hold.,,,"The raw field contains 24 inconsistencies such as W.I.P., In Progress, Pend Review, On-Hold, case variants, and trailing whitespace.",Trim whitespace and map known variants to the eight approved workflow statuses.,The source uses multiple labels for the same shot states; standardization is required before status-based KPI analysis.,Yes
shots,priority,VARCHAR,Category text,Urgency assigned to the production shot for scheduling and resource decisions.,No nulls allowed,Not a key,Not required,Low; Medium; High; Critical.,,,The raw field contains four blanks.,Standardize capitalization and investigate or fill missing priority only from an approved source.,Priority is required for planning; the raw blanks are incomplete descriptive values that need confirmation.,Yes
shots,complexity,VARCHAR,Category text,Estimated production complexity used for planning and workload analysis.,No nulls allowed,Not a key,Not required,Low; Low-Medium; Medium; High; Very High.,,,The raw field contains three blanks.,Standardize to the approved complexity scale and investigate or fill missing values only from an approved source.,Complexity is expected for planning; raw blanks require confirmation rather than silent imputation.,Yes
shots,estimated_hours,VARCHAR,Decimal,Planned labor hours required to complete the shot.,No nulls allowed,Not a key,Not required,Positive numeric value.,,Labor hours,"The raw text field contains N/A, blanks, zero, negative values, and extreme outliers including 1200.","Convert valid values to decimal, reject non-positive values, investigate outliers, and quarantine unresolved values from estimate-accuracy calculations.","The field is expected to be positive numeric; invalid source strings, missing values, non-positive values, and outliers explain the text type and require remediation.",Yes
shots,actual_hours,VARCHAR,Decimal,Reported total labor hours spent on the shot.,Conditionally nullable,Not a key,Not required,Non-negative numeric value; null only before work is recorded.,,Labor hours,"The raw text field contains pending, 18h, blanks, zero, negative values, and extreme outliers including 950.5; some blanks occur on completed work.","Convert valid values to decimal, remove text suffixes, preserve null only before work is recorded, reject negatives, investigate zero/outliers, and reconcile against summed time entries.","The field is logically numeric and conditionally nullable; malformed, non-positive, missing-on-completed, and extreme values require cleaning and reconciliation.",Yes
shots,internal_revision_count,BIGINT,Integer,Number of internal revision rounds recorded for the shot.,No nulls allowed,Not a key,Not required,Non-negative whole number.,,Revision rounds,,Preserve valid non-negative integers and reconcile against internal review-event records.,,Yes
shots,client_revision_count,BIGINT,Integer,Number of client-requested revision rounds recorded for the shot.,No nulls allowed,Not a key,Not required,Non-negative whole number.,,Revision rounds,,Preserve valid non-negative integers and reconcile against client review-event records.,,Yes
shots,revision_count_reported,BIGINT,Integer,Raw total revision count reported by the production tracking export.,No nulls allowed,Not a key,Not required,Non-negative whole number equal to the intended reported total.,,Revision rounds,"The raw field contains 11 blanks, 14 values of -1, and 42 reconciliation issues against component counts or review events.","Reject negative values, investigate missing values, and reconcile the reported total against internal_revision_count, client_revision_count, and review events.","The reported count is expected to be a complete non-negative integer; missing, negative, or inconsistent values require reconciliation.",Yes
shots,hold_days,BIGINT,Integer,Number of calendar days the shot was blocked or placed on hold.,No nulls allowed,Not a key,Not required,Non-negative whole number.,,Days,,Preserve valid non-negative integers and validate consistency with On Hold status and production notes.,,Yes
shots,vendor_dependencies,VARCHAR,Category text,External dependency category that may affect completion of the shot.,No nulls allowed,Not a key,Not required,None; 3D Asset; Plate Prep; Client Plate; External Simulation.,,,The raw field contains five blanks; None is the approved value when no dependency exists.,Trim and standardize categories; investigate blanks rather than treating them as None automatically.,A dependency status is required. Blank values are incomplete because no dependency should be represented explicitly as None.,Yes
shots,notes,VARCHAR,Text,Optional free-form production notes describing shot-specific context or constraints.,Nulls allowed,Not a key,Not required,"Free-form text, or null when no note is recorded.",,,,"Trim populated text, convert empty strings to null, and preserve the original wording.",,Yes
time_entries,time_entry_id,VARCHAR,Identifier text,Unique identifier assigned to each logged work or timesheet entry.,No nulls allowed,Primary key,Required,"TE-#######: uppercase TE, a hyphen, and seven digits.",,,"The raw table contains 6,935 rows and 6,865 distinct IDs, producing 70 repeated rows.","Remove exact duplicate entries, quarantine conflicting repeated IDs, standardize formatting, and verify uniqueness and completeness.",time_entry_id remains the intended primary key. Repeated values are duplicate raw fact rows that must be removed or resolved.,Yes
time_entries,shot_id,VARCHAR,Identifier text,Identifier of the production shot receiving the logged work time.,No nulls allowed,Foreign key,Not required,PRJ-####_SQ###_SH####.,shots.shot_id,,"The raw table contains 45 shot-key issues, including 12 blanks, MISSING_SHOT placeholders, lowercase IDs, and unresolved references.","Trim and uppercase valid IDs, correct only confidently recoverable values, and quarantine blank, placeholder, or unresolved shot references.",shot_id remains a required foreign key. Entries without a resolvable shot cannot safely support shot-level labor analysis.,Yes
time_entries,project_id,VARCHAR,Identifier text,Identifier of the project receiving the logged work time.,No nulls allowed,Foreign key,Not required,PRJ-####.,projects.project_id,,"The raw table contains project-key issues, blanks, case variants, nonexistent values, and 147 records whose project ID disagrees with the related shot.","Trim and uppercase IDs, validate against projects.project_id, reconcile to the project inherited through shot_id, and quarantine unresolved contradictions.",project_id remains a required foreign key and must agree with both the Projects table and the project derived from shot_id.,Yes
time_entries,artist_id,VARCHAR,Identifier text,Identifier of the artist who logged the work time.,No nulls allowed,Foreign key,Not required,ART-###.,artists.artist_id,,"The raw table contains artist-key issues, including 14 blanks, whitespace/case variants, and unresolved artist references.","Trim and uppercase valid IDs, validate against artists.artist_id, and quarantine blank or unresolved references from utilization and cost analysis.",artist_id remains a required foreign key. Entries without a resolvable artist cannot safely support utilization or labor-cost metrics.,Yes
time_entries,work_date,VARCHAR,Date,Calendar date on which the logged work was performed.,No nulls allowed,Not a key,Not required,YYYY-MM-DD.,,,"The raw text field contains 110 mixed or invalid date issues, including TBD, alternate formats, and impossible dates.","Parse valid formats, store as a true date, and quarantine placeholder or invalid values that cannot be corrected reliably.",The field is logically a required date; malformed source values explain the text type and require cleaning.,Yes
time_entries,hours_logged,VARCHAR,Decimal,Number of labor hours recorded for the individual timesheet entry.,No nulls allowed,Not a key,Not required,Greater than 0 and no more than 24 hours.,,Hours,"The raw text field contains 52 type or range issues, including 8h, seven, blanks, zero, negative values, and entries above 24 hours.","Convert valid values to decimal, remove text suffixes, reject values <= 0 or > 24, and quarantine unresolved entries from hour-based KPIs.",The field is expected to be a positive numeric duration not exceeding 24 hours; malformed and out-of-range source values require remediation.,Yes
time_entries,task_type,VARCHAR,Category text,Category describing the type of work performed during the time entry.,No nulls allowed,Not a key,Not required,Production; Review Fixes; Technical Setup; QC; R&D.,,,,Trim whitespace and standardize to the five approved task-type labels.,,Yes
